"","mz","mzmax","mzmin","intensity"
"468",301.141354100344,301.136396069183,301.145072704071,10168752
"469",302.074554238274,302.069573146736,302.078290137782,4304114.5
"470",332.149089066603,332.143345883352,332.154832398816,11059665
"471",337.104298706131,337.098426525001,337.110171040701,174603008
"472",338.107761873261,338.101863453265,338.113660447611,35008356
"473",339.123144650414,339.111294787616,339.134995133755,10230086
"474",353.078445317756,353.072150842325,353.083166284794,32632558
"475",354.082935983698,354.076614626577,354.089257510105,6181455
"476",355.118267798284,355.111918682575,355.12461708427,9260910
"477",360.180207130974,360.173721795327,360.186692641786,8399778
"478",363.121334153873,363.114769218731,363.127899267054,10460375
"479",365.137076756527,365.130457085045,365.143696608028,98524520
"480",366.140275460857,366.133628487057,366.146922615666,21330790
"481",367.226271937679,367.219595372204,367.23294868524,20168360
"482",368.229775825739,368.223071873263,368.234803910243,5473471
"483",369.134415978924,369.127687295929,369.141144845904,14145877
"484",381.10980129724,381.102742551094,381.115095485549,21194866
"485",382.11400136106,382.106914693853,382.119316490844,4955533.5
"486",383.221986482442,383.214868971383,383.227324745867,6250447
"487",385.129391325588,385.122220607427,385.136562244023,15550395
"488",389.20948551506,389.202200546309,389.214949375851,30191220
"489",390.213114988993,390.205801824173,390.220428359407,8500790
"490",395.221159224901,395.21370482652,395.228613834188,15139434
"491",396.225749770424,396.218266933631,396.23136203713,4322311
"492",405.203504435789,405.176420329351,405.247812536386,25305770
