"","mz","mzmax","mzmin","intensity"
"84",462.273926012309,462.264496206967,462.280998555671,296951808
"85",463.275251096573,463.265790640031,463.284711842909,48301444
"86",477.263960040611,477.254067865102,477.271379374079,27244770
"87",257.082014063011,257.078103321983,257.084947177345,49040164
"88",325.144462158557,325.138899698221,325.148634097486,278352544
"89",326.147943013996,326.142354780605,326.152134283294,62179324
"90",337.108612487843,337.102740202517,337.113016802534,41460296
"91",339.124211973604,339.118286936068,339.130137166424,105821008
"92",340.126269138683,340.120317819919,340.132220613649,21538618
"93",393.207975595281,393.200578068407,393.215373330918,26079730
"94",401.188945739459,401.181321842036,401.194663805145,72752448
"95",402.191571763042,402.183919270981,402.197311275421,18196134
"96",403.185850038346,403.178169137714,403.193531158472,19453550
"97",461.269065918958,461.259666848134,461.278465277072,1052751936
"98",462.273912465938,462.264482660715,462.283342559703,349141568
"99",463.275232113823,463.265771657401,463.284692860039,62662244
"100",477.263914743527,477.254022568143,477.271334076901,26253272
"101",787.420536861385,787.399573404561,787.441501155403,31163866
"102",923.549716517932,923.523088281125,923.569688451324,32081470
"103",924.549680274392,924.523008804045,924.576352898915,19953968
"104",283.061481616123,283.056963338841,283.064870395081,81333168
"105",325.14451540973,325.138952948912,325.14868734902,245705744
"106",326.148007904521,326.142419670647,326.152199174182,51486164
"107",337.108714746475,337.102842460642,337.113119061548,99893824
"108",338.111224367854,338.105325842425,338.117123047642,19034360
"109",339.124263017881,339.118337979833,339.130188211214,200146064
"110",340.126323095458,340.120371776181,340.13227457094,43736124
"111",364.20511310285,364.198518758006,364.210058979019,33138170
"112",365.139675376763,363.207933609872,367.107545257771,33138170
"113",365.21180937236,365.205187684291,365.218431240522,25529502
"114",388.140288602123,388.133033625134,388.145729968356,23048824
"115",393.208055364,393.200657836487,393.215453100278,69514400
"116",394.21020389965,394.202778065352,394.215773413074,19801656
"117",398.209551745977,398.202012621052,398.215206230179,68187824
"118",401.189009973266,401.181386075184,401.194728039446,53268880
"119",461.269158137031,461.259759065394,461.278557495957,584019456
"120",462.27398452406,462.264554718022,462.283414618641,189740512
"121",463.275349543945,463.265889086705,463.284810290979,33426306
"122",477.264029864564,477.254137688324,477.271449198579,29583694
"123",283.061312561562,283.056794285455,283.064701339639,31878098
"124",325.144402793048,325.138840333677,325.148574731252,248219552
"125",326.147925745331,326.142337512911,326.152117013902,53156628
"126",337.108505678106,337.1026333938,337.112909992033,64204772
"127",339.124108280453,339.118183243946,339.130033472244,144334032
"128",340.12623355436,340.12028223663,340.132185028293,31667132
"129",388.140198306476,388.132943331374,388.145639671294,24848318
"130",393.20791722047,393.20051969488,393.213465501662,43525176
"131",401.188886900464,401.181263004365,401.194604965157,101961264
"132",402.191469997144,402.183817506412,402.199122706289,24952782
"133",403.185781864297,403.178100964998,403.193462983089,30763368
"134",417.183898212839,417.175813870207,417.189961624031,37290928
"135",461.268949009915,461.259549940724,461.278348366397,1466602880
"136",462.27380357087,462.264373767284,462.280876112914,486325920
"137",463.275097145703,463.265636690924,463.284557890277,86034528
"138",477.263818868258,477.253926694591,477.271238200343,32341546
"139",787.420325514869,787.399362061685,787.441289805247,29174496
"140",923.549632828191,923.523004596008,923.569604758115,37949472
"141",924.555629063121,924.528957308868,924.582301971567,23618824
"142",257.082032903999,257.078122162463,257.084966018713,29659454
